No._Ruas,Nama_Ruas_Jalan,Kec._Yang_dilalui,Panjang_Ruas_(Km),Lebar_Ruas_(m),P.Aspal,P.Beton,P.Kerikil,P.Tanah,KB%,KB_Km,KS%,KS_Km,KRR%,KRR_Km,KRB%,KRB_Km,LHR_Rerata,Akses_Ke_Jalan,Ket.,Prioritas_Jalan,Total_Kondisi,Total_Kerusakan,Kategori_Kerusakan
34 054 K,JL. LETJEN SOEPRAPTO (BALIKPAPAN),Balikpapan,4.7,6.0,4.7,0.0,0.0,0.0,0.0,0.0,100.0,4.7,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34055,KM.5.5 BALIKPAPAN - KARIANGAU,Balikpapan,10.51,7.0,0.87,9.64,0.0,0.0,31.71,3.33,63.84,6.71,4.44,0.47,0.0,0.0,-,-,N,Prioritas,95.55000000000001,4.44,Baik
34056,JL. JANJU - SIMP. 3 JONE - PONDONG BARU,Paser,14.45,6.0,10.14,4.31,0.0,0.0,72.32,10.45,19.79,2.86,7.89,1.14,0.0,0.0,-,-,N,Prioritas,92.10999999999999,7.89,Baik
34057,KELUANG LOLO - BEKOSO - SANGKURIMAN - TANAH PER,UKPaser,17.92,6.0,3.12,14.57,0.23,0.0,81.36,14.58,10.94,1.96,0.0,0.0,7.7,1.38,-,-,N,Prioritas,92.3,7.7,Baik
34058,SIMP. 3 KAYU MAS - BTS. BONTANG,Kutai Timur,1.31,7.0,0.8,0.51,0.0,0.0,0.0,0.0,84.73,1.11,15.27,0.2,0.0,0.0,-,-,N,Prioritas,84.73,15.27,Baik
34059,JL. A.W. SYAHRANI (SANGATTA),Kutai Timur,8.9,14.0,8.9,0.0,0.0,0.0,91.01,8.1,8.99,0.8,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34060,SIMP.4 KALIORANG - BTS BERAU,Kutai Timur,149.17,6.0,67.03,30.87,51.27,0.0,19.69,29.38,32.81,48.94,4.29,6.4,43.21,64.45,-,-,P,Prioritas,52.5,47.5,Sedang
34061,BTS. KUTIM - TALISAYAN,Berau,98.83,6.0,49.51,19.3,30.03,0.0,22.6,22.34,31.89,31.52,11.69,11.55,33.82,33.43,-,-,P,Prioritas,54.49,45.51,Sedang
34062,TALISAYAN - TANJUNG REDEB,Berau,151.28,6.0,52.89,98.39,0.0,0.0,65.83,99.59,23.51,35.57,8.81,13.32,1.85,2.8,-,-,N,Prioritas,89.34,10.66,Baik
34063,SIMP. 3 NENANG - PELABUHAN BULUMINUNG,Penajam Paser Utara,7.58,12.0,0.0,7.58,0.0,0.0,26.39,2.0,73.61,5.58,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
